,movieId,title,year,genre__(no genres listed),genre__Action,genre__Adventure,genre__Animation,genre__Children,genre__Comedy,genre__Crime,genre__Documentary,genre__Drama,genre__Fantasy,genre__Film-Noir,genre__Horror,genre__IMAX,genre__Musical,genre__Mystery,genre__Romance,genre__Sci-Fi,genre__Thriller,genre__War,genre__Western
4074,4168,Get Over It,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4075,4169,Blow Dry (a.k.a. Never Better),2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4129,4223,Enemy at the Gates,2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
4130,4224,Exit Wounds,2001,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4131,4225,"Dish, The",2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4133,4227,"Brothers, The",2001,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4134,4228,Heartbreakers,2001,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0
4135,4229,Say It Isn't So,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4137,4231,Someone Like You,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4138,4232,Spy Kids,2001,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4139,4233,Tomcats,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4140,4234,"Tailor of Panama, The",2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
4144,4238,Along Came a Spider,2001,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0
4145,4239,Blow,2001,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
4146,4240,Just Visiting,2001,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4147,4241,Pokémon 3: The Movie,2001,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4149,4243,Brigham City,2001,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0
4152,4246,Bridget Jones's Diary,2001,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0
4153,4247,Joe Dirt,2001,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0
4154,4248,Josie and the Pussycats,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4155,4249,Kingdom Come,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4156,4250,"Body, The",2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
4160,4254,Crocodile Dundee in Los Angeles,2001,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4161,4255,Freddy Got Fingered,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4162,4256,"Center of the World, The",2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4170,4265,Driven,2001,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4171,4266,"Forsaken, The",2001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4172,4267,One Night at McCool's,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4173,4268,Town & Country,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4175,4270,"Mummy Returns, The",2001,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0
4204,4299,"Knight's Tale, A",2001,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
4209,4304,Startup.com,2001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4210,4305,Angel Eyes,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
4211,4306,Shrek,2001,0,0,6,6,6,6,0,0,0,6,0,0,0,0,0,6,0,0,0,0
4213,4308,Moulin Rouge,2001,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0
4215,4310,Pearl Harbor,2001,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0
4220,4315,Gabriela,2001,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0
4245,4340,"Animal, The",2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4246,4341,What's the Worst That Could Happen?,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4248,4343,Evolution,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4249,4344,Swordfish,2001,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
4250,4345,"Anniversary Party, The",2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4251,4346,Bride of the Wind,2001,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0
4271,4366,Atlantis: The Lost Empire,2001,0,0,4,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
4272,4367,Lara Croft: Tomb Raider,2001,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4273,4368,Dr. Dolittle 2,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4274,4369,"Fast and the Furious, The",2001,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0
4275,4370,A.I. Artificial Intelligence,2001,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
4276,4371,Baby Boy,2001,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
4277,4372,Crazy/Beautiful,2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
4278,4373,Pootie Tang,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4286,4381,"Closet, The (Placard, Le)",2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4291,4386,Cats & Dogs,2001,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4292,4387,Kiss of the Dragon,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4293,4388,Scary Movie 2,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4294,4389,Lost and Delirious,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4351,4446,Final Fantasy: The Spirits Within,2001,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0
4352,4447,Legally Blonde,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4353,4448,"Score, The",2001,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4355,4450,Bully,2001,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0
4356,4451,Jump Tomorrow,2001,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0
4357,4452,Made,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4361,4456,Haunted Castle,2001,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
4362,4457,All Access,2001,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0
4543,4638,Jurassic Park III,2001,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
4544,4639,America's Sweethearts,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4546,4641,Ghost World,2001,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4548,4643,Planet of the Apes,2001,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0
4552,4647,Jackpot,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4554,4649,Wet Hot American Summer,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4604,4699,Original Sin,2001,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0
4605,4700,"Princess Diaries, The",2001,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
4606,4701,Rush Hour 2,2001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4623,4718,American Pie 2,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4624,4719,Osmosis Jones,2001,0,7,0,7,0,7,7,0,7,0,0,0,0,0,0,7,0,7,0,0
4625,4720,"Others, The",2001,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0
4626,4721,American Outlaws,2001,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4627,4722,All Over the Guy,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4628,4723,"Deep End, The",2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4629,4724,On the Edge,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4630,4725,Session 9,2001,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
4632,4727,Captain Corelli's Mandolin,2001,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0
4633,4728,Rat Race,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4636,4732,Bubble Boy,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4637,4733,"Curse of the Jade Scorpion, The",2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4638,4734,Jay and Silent Bob Strike Back,2001,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4639,4735,Ghosts of Mars,2001,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
4640,4736,Summer Catch,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4641,4737,"American Rhapsody, An",2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4647,4743,Tortilla Soup,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4648,4744,Jeepers Creepers,2001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4649,4745,O,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4650,4746,Waking Up in Reno,2002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4660,4756,"Musketeer, The",2001,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0
4661,4757,Rock Star,2001,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0
4662,4758,Soul Survivors (a.k.a. The Killer Cut),2001,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
4663,4759,Two Can Play That Game,2001,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4665,4761,Diamond Men,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4668,4764,Kill Me Later,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
4669,4765,L.I.E.,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4674,4770,"Glass House, The",2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4675,4771,Hardball,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4677,4773,Haiku Tunnel,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4678,4774,Big Trouble,2002,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4679,4775,Glitter,2001,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0
4680,4776,Training Day,2001,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0
4681,4777,"American Astronaut, The",2001,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0
4682,4778,Children Underground,2001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4683,4779,Go Tigers!,2001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4685,4781,Megiddo: The Omega Code 2,2001,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0
4686,4782,Sidewalks of New York,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4718,4814,Don't Say a Word,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4719,4815,Hearts in Atlantis,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4720,4816,Zoolander,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4722,4818,Extreme Days,2001,0,4,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
4723,4819,Go Figure (Va savoir),2001,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0
4725,4821,Joy Ride,2001,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4726,4822,Max Keeble's Big Move,2001,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4727,4823,Serendipity,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4729,4825,"Swamp, The (Ciénaga, La)",2001,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4748,4844,Bandits,2001,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0
4749,4845,Corky Romano,2001,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4751,4847,Fat Girl (À ma soeur!),2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4752,4848,Mulholland Drive,2001,0,0,0,0,0,0,5,0,5,0,5,0,0,0,5,0,0,5,0,0
4753,4849,My First Mister,2001,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4755,4851,Things Behind the Sun,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4756,4852,Bones,2001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4769,4865,From Hell,2001,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0
4770,4866,"Last Castle, The",2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4771,4867,Riding in Cars with Boys,2001,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4775,4871,Focus,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4777,4873,Waking Life,2001,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
4778,4874,K-PAX,2001,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,4,0,0,0
4779,4875,On the Line,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4780,4876,Thirteen Ghosts (a.k.a. Thir13en Ghosts),2001,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
4782,4878,Donnie Darko,2001,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,4,0,0
4783,4879,High Heels and Low Lifes,2001,0,4,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0
4784,4880,Life as a House,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4785,4881,"Man Who Wasn't There, The",2001,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
4788,4884,Trembling Before G-d,2001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4789,4885,Domestic Disturbance,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4790,4886,"Monsters, Inc.",2001,0,0,5,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0
4791,4887,"One, The",2001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
4792,4888,Tape,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4793,4889,Heist,2001,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
4794,4890,Shallow Hal,2001,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0
4799,4895,"Wash, The",2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4800,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),2001,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4801,4897,"Fluffer, The",2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
4802,4898,Novocaine,2001,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,4,0,0
4803,4899,Black Knight,2001,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4804,4900,Out Cold,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4805,4901,Spy Game,2001,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0
4806,4902,"Devil's Backbone, The (Espinazo del diablo, El)",2001,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0,5,5,0
4807,4903,In the Bedroom,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4862,4958,Behind Enemy Lines,2001,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
4863,4959,"Affair of the Necklace, The",2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4865,4961,Pornstar: The Legend of Ron Jeremy,2001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4866,4962,Texas Rangers,2001,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4867,4963,Ocean's Eleven,2001,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
4868,4964,Baran,2001,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
4869,4965,"Business of Strangers, The",2001,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
4871,4967,No Man's Land,2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
4872,4968,Piñero,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4877,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4878,4974,Not Another Teen Movie,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4879,4975,Vanilla Sky,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0
4880,4976,Iris,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4881,4977,Kandahar (Safar e Ghandehar),2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4882,4978,Lantana,2001,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0
4883,4979,"Royal Tenenbaums, The",2001,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4893,4989,How High,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4894,4990,Jimmy Neutron: Boy Genius,2001,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4895,4991,Joe Somebody,2001,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0
4896,4992,Kate & Leopold,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4897,4993,"Lord of the Rings: The Fellowship of the Ring, The",2001,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4898,4994,"Majestic, The",2001,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0
4899,4995,"Beautiful Mind, A",2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
4913,5009,Ali,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4914,5010,Black Hawk Down,2001,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
4915,5011,Charlotte Gray,2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
4917,5013,Gosford Park,2001,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0
4918,5014,I Am Sam,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4919,5015,Monster's Ball,2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
4920,5016,"Shipping News, The",2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4929,5025,Orange County,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930,5026,"Brotherhood of the Wolf (Pacte des loups, Le)",2001,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0
4932,5028,What Time Is It There? (Ni neibian jidian),2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4950,5046,Impostor,2002,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0
4951,5047,Kung Pow: Enter the Fist,2002,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4952,5048,Snow Dogs,2002,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4968,5064,The Count of Monte Cristo,2002,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0
4969,5065,"Mothman Prophecies, The",2002,0,0,0,0,0,0,0,0,5,5,0,5,0,0,5,0,0,5,0,0
4970,5066,"Walk to Remember, A",2002,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
4972,5068,Beijing Bicycle (Shiqi sui de dan che),2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4974,5070,"Hey, Happy!",2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
4976,5072,Metropolis,2001,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4977,5073,"Son's Room, The (Stanza del figlio, La)",2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4978,5074,Storytelling,2001,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4984,5080,Slackers,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4985,5081,Birthday Girl,2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
4987,5083,Rare Birds,2001,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4996,5092,Big Fat Liar,2002,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4997,5093,Collateral Damage,2002,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4998,5094,Rollerball,2002,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4999,5095,"Scotland, Pa.",2001,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5010,5106,Crossroads,2002,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0
5011,5107,Hart's War,2002,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
5012,5108,John Q,2002,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0
5013,5109,Return to Never Land,2002,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
